country_code,country,rel_prem_deaths_1990,rel_prem_deaths_2015,rel_prem_deaths_2019,abs_prem_deaths_2019
AFG,Afghanistan,224.168,223.026,228.234,34796
ALB,Albania,285.349,498.178,532.035,8173
DZA,Algeria,425.854,494.707,502.327,113578
ASM,American Samoa,93.551,124.749,140.15,41
AND,Andorra,169.896,150.952,136.917,79
AGO,Angola,104.099,155.527,174.547,20162
ATG,Antigua and Barbuda,372.218,305.836,309.069,180
ARG,Argentina,349.936,300.539,281.206,81847
ARM,Armenia,609.027,1115.201,1045.64,19799
AUS,Australia,139.187,69.773,70.732,13379
AUT,Austria,675.491,307.617,267.22,25696
AZE,Azerbaijan,517.276,807.873,783.148,41636
BHS,Bahamas,233.971,243.86,254.771,538
BHR,Bahrain,584.532,356.396,381.299,2868
BGD,Bangladesh,200.109,375.193,453.833,280926
BRB,Barbados,578.13,549.971,609.426,1046
BLR,Belarus,1037.126,1006.043,889.441,78870
BEL,Belgium,699.434,312.865,302.814,35165
BLZ,Belize,147.423,218.938,238.568,407
BEN,Benin,150.516,199.378,195.056,9703
BMU,Bermuda,254.365,110.926,124.041,68
BTN,Bhutan,110.916,348.087,353.53,1050
BOL,Bolivia,432.729,318.903,337.477,21449
BIH,Bosnia and Herzegovina,448.563,1115.74,1094.15,21840
BWA,Botswana,180.093,416.709,408.65,4424
BRA,Brazil,200.832,195.662,206.572,268536
BRN,Brunei Darussalam,100.498,86.058,89.332,180
BGR,Bulgaria,1352.45,1281.85,1296.192,80361
BFA,Burkina Faso,124.139,174.511,166.317,14428
BDI,Burundi,121.852,90.252,84.593,5220
CPV,Cabo Verde,184.349,458.437,579.372,1100
KHM,Cambodia,171.069,194.625,212.328,16540
CMR,Cameroon,224.108,402.52,395.813,42717
CAN,Canada,213.875,96.955,100.683,33722
CAF,Central African Republic,157.752,203.352,195.525,4814
TCD,Chad,131.522,166.588,163.741,10916
CHL,Chile,278.542,301.959,307.534,31564
CHN,China (People's Republic of),442.026,953.961,993.582,6908715
TWN,Chinese Taipei,291.172,474.049,487.4,62243
COL,Colombia,210.093,245.993,259.564,70171
COM,Comoros,95.05,111.713,109.659,457
COG,Congo,223.28,326.647,334.787,7476
CRI,Costa Rica,116.598,175.652,185.842,4563
CIV,Côte d'Ivoire,201.315,300,261.468,33409
HRV,Croatia,959.035,798.073,743.796,27311
CUB,Cuba,438.081,544.04,516.016,37066
CYP,Cyprus,488.219,356.432,344.973,2963
CZE,Czech Republic,1256.59,603.457,585.256,60475
PRK,Democratic People's Republic of Korea,357.806,788.252,841.388,93680
COD,Democratic Republic of the Congo,158.143,129.548,127.274,51222
DNK,Denmark,713.361,224.227,224.931,15971
DJI,Djibouti,120.318,434.895,465.637,1772
DMA,Dominica,343.605,462.712,455.776,207
DOM,Dominican Republic,97.887,357.522,353.82,14709
ECU,Ecuador,171.351,242.409,244.057,20325
EGY,Egypt,1024.631,958.617,902.379,511409
SLV,El Salvador,133.966,292.013,294.576,8798
GNQ,Equatorial Guinea,150.74,310.348,292.966,1457
ERI,Eritrea,186.019,337.236,393.585,5968
EST,Estonia,451.353,138.675,120.481,3055
SWZ,Eswatini,154.656,286.121,298.983,1763
ETH,Ethiopia,83.939,74.575,79.87,39920
FJI,Fiji,114.085,328.762,370.588,1478
FIN,Finland,269.214,67.303,69.65,5479
FRA,France,403.756,216.93,203.434,124410
GAB,Gabon,312.77,407.04,378.259,4145
GMB,Gambia,137.24,199.283,207.224,1999
GEO,Georgia,766.495,755.281,778.679,24869
DEU,Germany,800.1,348.94,324.287,283628
GHA,Ghana,236.776,409.815,412.236,51930
GRC,Greece,669.291,552.716,545.872,47068
GRL,Greenland,124.862,96.272,108.468,42
GRD,Grenada,368.161,440.261,459.784,301
GUM,Guam,129.051,230.322,185.295,158
GTM,Guatemala,160.58,209.687,212.392,17347
GIN,Guinea,195.603,209.444,191.876,12794
GNB,Guinea-Bissau,183.735,195.36,184.813,1827
GUY,Guyana,430.85,552.859,525.34,2570
HTI,Haiti,101.741,154.862,161.801,8237
HND,Honduras,75.401,187.158,182.946,7057
HUN,Hungary,1080.218,765.65,716.649,64156
ISL,Iceland,119.755,46.461,45.837,159
IND,India,320.013,662.334,717.172,3875865
IDN,Indonesia,212.705,369.283,394.498,501665
IRN,Iran,435.045,515.095,503.57,236707
IRQ,Iraq,642.301,650.837,645.881,130861
IRL,Ireland,416.863,120.322,109.708,6541
ISR,Israel,488.461,289.577,267.569,16571
ITA,Italy,700.677,441.97,407.807,224489
JAM,Jamaica,153.1,310.039,318.193,4666
JPN,Japan,242.319,288.502,313.08,227995
JOR,Jordan,356.421,272.514,306.872,14065
KAZ,Kazakhstan,487.316,578.585,546.669,69650
KEN,Kenya,70.689,126.648,104.396,26758
KIR,Kiribati,115.211,127.425,156.89,90
KOR,Korea,417.572,361.586,426.671,122731
KWT,Kuwait,264.494,324.583,364.818,6588
KGZ,Kyrgyzstan,402.367,437.587,403.334,16570
LAO,Lao People's Democratic Republic,170.377,169.567,192.012,7194
LVA,Latvia,993.944,670.69,586.188,14333
LBN,Lebanon,573.83,521.604,488.095,17737
LSO,Lesotho,199.202,431.752,394.648,4416
LBR,Liberia,200.762,144.472,132.841,3235
LBY,Libya,293.666,438.996,496.634,15426
LTU,Lithuania,679.673,554.192,457.156,14493
LUX,Luxembourg,546.994,162.513,147.914,968
MDG,Madagascar,74.658,84.607,83.203,10192
MWI,Malawi,71.219,82.11,70.338,7006
MYS,Malaysia,388.216,321.457,330.26,58459
MDV,Maldives,108.141,78.966,92.749,243
MLI,Mali,131.354,165.973,164.888,13979
MLT,Malta,478.893,327.459,334.456,1143
MHL,Marshall Islands,79.844,178.63,204.164,55
MRT,Mauritania,309.344,328.671,311.503,7027
MUS,Mauritius,350.131,430.215,477.773,3492
MEX,Mexico,252.533,273.001,286.879,191426
FSM,Micronesia,140.932,293.59,282.035,162
MDA,Moldova,613.876,678.368,520.199,20578
MNG,Mongolia,374.916,602.498,696.588,9434
MNE,Montenegro,707.413,978.348,898.871,3878
MAR,Morocco,298.227,663.423,742.247,114962
MOZ,Mozambique,48.506,67.434,61.767,8293
MMR,Myanmar,253.517,409.112,447.049,119668
NAM,Namibia,220.221,330.477,316.121,4068
NRU,Nauru,135.237,95.719,98.902,9
NPL,Nepal,242.877,573.033,625.103,67197
NLD,Netherlands,573.827,263.406,267.263,45175
NZL,New Zealand,132.229,57.736,63.304,2450
NIC,Nicaragua,56.572,140.942,153.179,4101
NER,Niger,177.443,139.39,127.141,14795
NGA,Nigeria,234.535,361.862,340.726,301573
MKD,North Macedonia,967.449,1329.817,1321.068,17685
MNP,Northern Mariana Islands,125.796,208.173,181.347,55
NOR,Norway,390.792,84.774,73.109,6351
OMN,Oman,374.68,375.858,314.447,8651
PAK,Pakistan,260.937,523.435,526.353,467535
PLW,Palau,169.082,387.368,250.488,28
PSE,Palestinian Authority or West Bank and Gaza Strip,277.315,381.296,359.279,9038
PAN,Panama,125.297,179.334,153.155,3583
PNG,Papua New Guinea,76.74,121.064,134.518,4841
PRY,Paraguay,90.995,124.866,148.41,4922
PER,Peru,280.628,258.758,274.254,46515
PHL,Philippines,175.879,281.189,296.231,153826
POL,Poland,993.335,704.905,732.817,223633
PRT,Portugal,391.365,210.639,203.876,21735
PRI,Puerto Rico,134.245,104.951,143.911,2801
QAT,Qatar,365.181,175.404,191.371,2260
ROU,Romania,760.074,734.971,752.331,122917
RUS,Russia,806.547,608.6,506.773,826252
RWA,Rwanda,156.664,131.829,139.115,8744
KNA,Saint Kitts and Nevis,309.429,171.682,205.376,68
LCA,Saint Lucia,273.085,379.838,439.05,383
VCT,Saint Vincent and the Grenadines,268.596,542.482,562.088,316
WSM,Samoa,146.458,180.146,205.951,217
SMR,San Marino,203.775,163.932,167.101,35
STP,Sao Tome and Principe,144.37,248.612,239.556,225
SAU,Saudi Arabia,278.986,513.359,520.399,84657
SEN,Senegal,186.589,219.966,206.549,16568
SRB,Serbia,981.441,1272.648,1210.396,80444
SYC,Seychelles,330.193,325.011,358.952,197
SLE,Sierra Leone,185.132,200.575,197.282,7445
SGP,Singapore,377.503,203.979,229.531,7386
SVK,Slovak Republic,1088.821,646.356,636.494,31173
SVN,Slovenia,651.164,390.725,396.104,7298
SLB,Solomon Islands,79.329,147.83,162.635,419
SOM,Somalia,43.536,47.475,49.759,3578
ZAF,South Africa,338.667,482.783,423.414,148365
SSD,South Sudan ,159.182,136.498,125.256,8123
ESP,Spain,352.437,205.207,189.99,81463
LKA,Sri Lanka,172.151,300.444,340.711,36736
SDN,Sudan,197.738,335.521,388.11,62920
SUR,Suriname,333.758,493.995,448.491,1391
SWE,Sweden,314.519,70.996,64.641,10711
CHE,Switzerland,534.559,197.046,160.047,16386
SYR,Syrian Arab Republic,528.071,557.749,595.102,59486
TJK,Tajikistan,363.783,527.143,510.444,22164
TZA,Tanzania,86.519,115.339,107.54,28664
THA,Thailand,260.6,395.964,462.915,168690
TLS,Timor-Leste,75.193,150.793,162.516,759
TGO,Togo,147.056,201.304,200.129,7097
TON,Tonga,99.918,187.416,195.169,110
TTO,Trinidad and Tobago,518.754,576.295,638.644,5055
TUN,Tunisia,394.781,612.591,627.556,39342
TUR,Türkiye,523.652,543.182,499.227,241798
TKM,Turkmenistan,637.822,640.315,602.374,21375
TUV,Tuvalu,123.767,165.591,179.742,12
UGA,Uganda,66.525,124.074,103.672,19868
UKR,Ukraine,1078.55,1125.826,975.989,395925
ARE,United Arab Emirates,319.646,259.004,333.016,10709
GBR,United Kingdom,722.556,218.808,214.122,176749
USA,United States,377.84,155.408,145.26,514082
VIR,United States Virgin Islands,162.969,268.059,299.087,152
URY,Uruguay,285.525,221.763,211.845,5550
UZB,Uzbekistan,497.885,839.486,811.529,141550
VUT,Vanuatu,90.487,164.126,181.466,214
VEN,Venezuela,246.381,338.346,430.519,55493
VNM,Viet Nam,146.051,370.51,388.53,167530
YEM,Yemen,182.909,367.859,386.895,42843
ZMB,Zambia,130.722,164.872,164.885,12682
ZWE,Zimbabwe,121.565,201.596,177.914,14881
